Final_Class,Codes_Selected,Final_Justification,Confidence,original_index,narr_accf
AE200 only,PC300_Physical_Mental_Limitations,The pilot's belief that applying less rudder and brake pressure could have prevented the accident indicates a limitation in their physical or mental state regarding the control inputs required for safe operation.,Medium,0,"The pilot and passenger were returning from a local flight.  During landing rollout, the tail rose off the runway, and the airplane nosed over.  It came to rest upside down on the runway centerline with no injuries to the occupants.  The airframe sustained damage to the fuselage, both wings, the vertical stabilizer, and the rudder.  The pilot stated there were no issues with the airplane and thought that applying less rudder and brake pressure might have prevented the accident."
AE100 only,PC100_Mental_States,The pilot's fear during landing indicates a mental state that could lead to unsafe acts.,High,1,"The pilot reported that during landing the airplane bounced multiple times. During each successive bounce, the airplane gained more altitude to the point that the pilot was scared. He added full power to go around, the airplane turned left, and he was unable to maintain control. The airplane impacted a ditch off the side of the runway and sustained substantial damage to the fuselage. The pilot reported that there were no preimpact mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE100 only,PE100_Physical_Environment,The pilot's concern with a military helicopter indicates a potential unsafe act related to the physical environment affecting the operation.,Medium,2,"The pilot reported, that while conducting a full stop landing, he was concerned with a military helicopter about ¾ of the way down the right side of the runway.  Due to the helicopter’s position, he reduced the engine power to idle and touched down about 10 mph faster than usual.  During the rollout, the pilot overcorrected to the left, the airplane tilted to the right, and the right wing contacted the ground.  The right main landing gear collapsed, and the right wing sustained substantial damage.  The pilot reported that there was a possibility of rotor wash from the military helicopter. There was no evidence of any preimpact mechanical malfunctions or failures with the airplane that would have precluded normal operations."
AE200 only,"PE200_Tools_Technology, PP100_Communication_Coordination_Planning, PC100_Mental_States","The presence of the landing gear position warning horn and the conversation about extending the landing gear indicate a potential unsafe act related to the use of technology and communication, but there is no evidence of an actual unsafe act occurring.",Medium,3,"On the downwind leg of the traffic pattern the pilot receiving instruction and the flight instructor were having a conversation about when to extend the landing gear, as the pilot receiving instruction was new to this airplane. During this discussion the pilots were contacted by air traffic control (ATC) and a conversation took place about a possible change of runway. After the exchange with ATC the pilots did not return to their conversation about when to extend the landing gear. After being cleared to land, the pilot receiving instruction performed a normal approach to landing. The pilots reported that they realized they had forgotten to extend the landing gear when they heard the airplane contact the runway. The airplane skidded down the asphalt, resulting in substantial damage to the external longerons of the fuselage. The flight instructor reported that there were no preaccident mechanical malfunctions or failures with the airplane that would have precluded normal operation.
The airplane was equipped with a landing gear position warning horn that was designed to sound when either of the throttles were pulled back for landing. Neither pilot specifically remembered hearing the warning horn during the accident landing. After the airplane was recovered, the landing gear warning horn was tested and was found to operate normally."
AE100 only,PE100_Physical_Environment,"The pilot was operating in a challenging physical environment surrounded by tall trees, which could lead to unsafe acts.",Medium,4,"The pilot reported that he completed a full preflight inspection of the airplane with no issues noted, including inspecting all the flight control surfaces. During the run-up, the pilot checked all the flight controls and he noted they “all checked perfect.” The pilot was operating at a remote airport that was surrounded by pine trees, about 90 ft tall, on all sides. The takeoff roll from the snow-covered runway was “normal” and about 150 ft agl, the airplane “started turning/pulling left” in a descending turn. The pilot attempted to correct the turn and descent to no avail. The pilot decided to continue to use engine power until the airplane impacted trees. The airplane impacted several trees and came to rest nose down. The pilot was able to egress from the airplane without further incident. _x000D_
The airplane sustained substantial damage to the fuselage, both wings, and the engine mount. The pilot reported there were no preimpact mechanical malfunctions or failures with the airframe or the engine that would have precluded normal operation. A postaccident examination of the airframe established flight control continuity."
AE200 only,,"The pilot's mental state contributed to the unsafe act of approaching the wrong airport, indicating a lack of situational awareness.",High,5,"The pilot reported that his intended destination airport was Cedar Ridge Airport (GA62), Griffin, GA, but due to misidentification of the airport while airborne, he landed at Brook Bridge Aerodrome (8GA9), Vaughn, GA. He reported that he did not realize he was approaching the wrong airport until he was “too low and too slow.” The airplane touched down on a shared taxiway/driveway before impacting a utility pole with the left wing. Subsequently, the airplane spun and impacted trees resulting in substantial damage to the left wing, nose structure, and right wing. The pilot reported that there were no pre-accident mechanical malfunctions or failures with the airplane that would have precluded normal operation."
AE200 only,PE200_Tools_Technology,"The evidence indicates that the tools and technology operated as per procedures, which suggests a potential unsafe act related to the use of technology.",Medium,6,"The flight instructor reported that he and the private pilot receiving instruction had just completed their seventh landing of the morning. The private pilot reduced the throttle on downwind and the landing gear warning horn sounded so he increased the throttle and continued in the traffic pattern. The flight instructor prompted him to extend the flaps and the student stated that he would extend the landing gear. They “confirmed 3 green,” which would indicate that the landing gear was down and locked. During the landing flare, “no gear warning horn was alarming,” but as they got closer to the ground the instructor observed sparks out of the left window. The airplane slid on the runway, came to rest upright, and sustained substantial damage to the lower fuselage longerons. _x000D_
The Federal Aviation Administration (FAA) inspector completed an extensive examination and functional testing of the landing gear system. With the airplane on jacks, he cycled the landing gear at least six times and determined the landing gear, warning annunciations and aural alerts operated per the procedures in the airplane’s maintenance manual and there were no anomalies found."
AE100 only,PE100_Physical_Environment,"The evidence indicates that the pilot was landing under specific wind conditions, which can directly affect the landing performance and decision-making, classifying it as an unsafe act related to the physical environment.",Medium,7,"During the landing attempt with a direct left crosswind in the tailwheel-equipped airplane, the pilot reported he heard a pop, and the airplane veered to the right. The pilot attempted to make a correction to the left to maintain airplane control. The pilot felt the empennage lift and the propeller struck the runway. The right main landing gear collapsed, the right wing struck the runway, and the airplane pivoted around the left main landing gear coming to rest on the runway. The airplane sustained substantial damage to the right wing and wing struts. According to a mechanic, postaccident examination revealed fractures to the landing gear structure that were consistent with an abnormal sideload and subsequent ground loop. No other mechanical failures or malfunctions were reported with the airplane that would have precluded normal operation. _x000D_
At the time of the accident, the pilot was landing the airplane on runway 34 with wind from 250° at 12 knots and gusting to 16 knots."
AE200 only,PE200_Tools_Technology,"The gear misconfigured warning indicates a failure related to tools or technology, which aligns with AE200.",Medium,8,"On a previous flight, the pilot of the amphibious light sport airplane had pulled the landing gear circuit breakers to mitigate the risk of accidentally raising the landing gear while on the ground. Prior to the accident flight, which departed from a hard-surface runway, he serviced the airplane with fuel and performed a preflight check. He intended to perform water landings on an adjacent lake, and after takeoff he selected the gear-up switch but had forgotten to reset the circuit breakers. _x000D_
Shortly after takeoff he felt a light airframe vibration and decided to expedite the landing. While circling the landing spot, and slowing the airplane for the approach, the gear misconfigured warning sounded. However, the pilot silenced the warning because his attention was diverted by the landing due to the vibration, so the gear remained extended as the airplane touched the water. The airplane then nosed over and sustained substantial damage._x000D_
The “before engine start” checklist in the pilot’s operating handbook states that the circuit breakers should be in. There is no reference in the handbook to pulling the circuit breakers to prevent accidental activation."
AE100 only,PE100_Physical_Environment,"The evidence indicates that adverse weather conditions, specifically a right crosswind with gusts, were present at the time of the accident, which can lead to unsafe acts during flight operations.",High,9,"The pilot reported that he completed the before landing checklist while on the downwind leg of the airport traffic pattern.  The approach and landing were completed at a reduced flap setting due to the gusty wind.  After the airplane touched down, the pilot “felt a pull to the left,” and he thought that there might have been an issue with the nose wheel steering.  The airplane ultimately departed the left side of the runway, and the left main landing gear collapsed.  The left wing was damaged during the accident sequence._x000D_
A postaccident examination conducted by a Federal Aviation Administration inspector did not reveal any anomalies with respect to the nose wheel assembly or the steering linkage.  Rudder control continuity was confirmed._x000D_
Surface weather observations indicated that a 50° - 70° right crosswind with gusts to 30 knots prevailed about the time of the accident."
